21520;19885;80796;10650;35616;38787;97041;14495;19589;12224;20672;95476
34419;12219;34753;96067;22328;86473;11605;82659;27695;19248;28653;29985
28339;94958;15723;34598;37950;11878;31439;96896;15071;32809;84986;16659
95032;26861;24339;26793;26232;31000;12706;17608;91191;80910;23792;35415
31477;19083;28489;18011;80811;14293;29519;84565;32432;10627;93887;24762
83879;34301;95997;35325;17452;25902;13836;38924;88556;16695;30953;23308
38189;95932;33524;13022;95397;23757;23628;19710;39226;95967;28931;38512
19481;30289;85446;86364;11983;20440;32607;33280;87170;15557;27867;16913
25689;93390;23357;10520;12196;20576;91090;86319;22436;36755;37529;14262
81793;14392;30532;95649;96679;29357;24122;20221;11832;17122;27990;39087
