23939;33723;12948;95392;34968;18287;97808;11858;33643;97153;30982;24834
97942;12012;95265;21558;10682;82000;21390;37662;16942;30827;36850;22044
85314;10618;37501;27981;89400;23477;16745;10317;15192;35012;24115;80889
36691;97078;95347;22572;80967;15730;14865;14966;15877;36822;34601;32649
14454;33994;84124;35169;89754;23194;32554;91606;13707;28722;10775;10247
88634;21724;80894;20632;23739;37743;25789;36966;39921;24007;89226;33871
16229;84333;31404;91615;19757;14035;17272;31877;94178;13699;23720;33113
85325;34069;18876;30783;10159;27738;21428;95139;97328;17897;24927;14839
23824;37005;16971;19635;30312;92259;38758;95896;11846;86679;26065;26555
21895;15652;94826;88647;26777;36045;32117;32856;37612;30032;82787;31229
