25186;20849;20011;11293;85536;87017;22840;82376;12175;35696;36614;17292
37155;21894;88525;31691;81105;16141;18464;20563;26220;98902;12104;10685
30883;82981;33409;29806;12098;15397;87184;31590;30117;29962;80576;14075
98951;96785;15952;88907;26050;35575;27825;27861;31120;35612;18812;37348
17215;90271;37939;35247;25936;31392;12237;37948;81266;27228;93897;15781
37463;37003;11663;96557;33013;20015;86695;30122;22252;25436;12453;91261
28975;21070;33219;33450;19257;34110;37457;99011;91871;28889;81349;29879
93221;16649;25700;27916;92465;38230;26919;87592;11688;26330;31908;32807
10556;95501;34986;35494;32769;19530;83068;96846;14456;21311;36439;19666
14928;26913;80439;29713;23869;39999;25267;95848;94087;25901;16019;10174
