91590;39408;30062;19006;29372;84683;30898;21933;15634;34433;81404;36405
20321;13456;19578;15705;97216;38057;36183;29009;86155;32108;16197;83632
17725;84400;20148;90264;20443;12396;13300;90311;17305;35131;30054;37579
31739;38665;15020;29822;98390;89086;27870;10666;90215;18165;11035;25736
18373;93176;25877;27947;31239;23488;81238;90858;18411;31831;28243;20203
37221;10501;99237;10331;97878;34280;87394;32285;31494;10197;12408;36915
15072;20661;24168;37922;89271;85098;97038;22257;15019;32188;28169;38320
35792;99352;99779;85581;20478;13615;37788;39474;38540;10869;13144;29149
35722;32662;27830;10212;39018;26922;25707;18166;95468;83766;80807;26961
94377;17086;97517;32413;26221;36176;36167;93014;28732;16758;13270;25241
