26641;17357;11250;22343;94144;83435;29425;29728;25827;36071;31503;84861
15210;22703;17554;10969;84414;20474;37360;22628;28139;31059;95961;80984
32632;37458;95626;31875;32564;13358;38484;86318;29721;12628;95356;16597
38053;32680;97855;91265;10026;12209;24043;85532;36012;39093;26897;37137
39324;28145;25519;94531;24155;17833;23756;22911;86556;97479;17475;36242
11893;33273;86878;18273;29113;24024;97490;24128;33511;28165;99182;24088
81758;97432;37679;31178;14753;24715;28553;96572;36904;21767;14958;26263
28567;92190;31658;80582;39307;18577;24514;25530;25391;36852;84990;28005
14952;18980;96126;38439;26212;10647;85593;18067;26508;88332;18291;16340
26904;90197;19426;87296;12531;25671;10266;22756;35419;12235;95474;26629
