99735;99514;87829;31953;10707;37406;28205;13266;16627;25614;35655;22615
25676;23969;27260;81381;80010;33154;90304;12366;29863;18923;35389;26773
22075;30490;20957;87651;10175;28906;10795;32573;37677;80235;15107;85217
16974;86373;13334;29645;23647;35298;36341;31964;83726;88244;19426;18892
15495;29856;39631;97297;80470;12848;84937;18737;24978;21266;19448;21351
22546;18744;31608;24832;20421;32272;30458;34177;84241;25589;96594;99730
91193;26690;39502;23875;16013;85886;39512;88708;15223;18559;17337;17784
38554;38865;38541;22018;39046;96388;12439;13263;17082;25764;95631;96702
34294;25026;14041;27017;13050;28230;88596;28950;89759;36973;39420;80731
93004;92323;15130;80063;18388;14220;23029;28990;33576;19080;23514;23330
