92264;38307;30172;30853;94761;25401;10651;32695;30261;86661;33973;25293
13201;88005;16265;24352;15988;38968;16870;83104;23500;97497;10244;34017
85955;38797;83860;25485;86111;25077;17189;32316;19176;26191;22432;23510
21632;91863;11272;32736;24175;23219;10790;37522;93296;84446;19562;14169
28109;18492;16504;95746;21418;82116;31973;36357;26943;18952;85231;31779
30594;35855;39243;87902;12903;37870;90010;35584;92246;25105;26090;29707
14289;81892;18399;98455;31448;15370;19266;37199;35434;30110;14355;83446
18726;96808;18336;92598;24919;26240;13413;37344;13763;90745;15940;17038
21247;82548;81294;21158;27613;88427;33267;26388;19117;34793;36396;34824
15172;11321;12878;24289;15132;20319;86779;37263;21501;93081;95028;22015
