88008;37318;27802;12765;88372;24758;85230;29057;30412;10608;17749;25850
17576;83734;30319;28053;22059;90374;15223;30542;85192;37223;14667;15552
80502;17946;26319;32211;94784;28053;17987;33575;38294;99616;27577;34645
38266;38322;19514;80047;35348;12823;30646;36253;91601;33984;94494;34391
23110;91037;25847;22838;13981;23892;36399;15967;86876;95482;24610;25714
34061;25495;80235;26608;38909;94876;12307;35477;12570;36421;11078;95015
31523;89686;87561;32052;35241;17171;26055;30417;14972;21765;87710;25234
22997;31179;94690;17542;39601;11716;31743;80008;13266;30418;18120;83391
37257;38195;34291;26098;87327;31028;20468;85055;11360;28684;39306;95357
31435;95015;32805;35368;25005;27892;96431;29777;31382;34778;82748;29421
