29094;21311;23343;91337;98145;19519;32755;36807;11381;23612;23329;87634
84784;31933;95773;27150;31861;11271;38216;23090;21658;99745;30583;23745
98630;83950;18562;90464;33414;17234;39853;12604;19628;18786;12921;26877
33539;10333;12510;27592;82065;26276;87434;87963;34629;39407;39068;13427
10758;38784;13883;93367;29911;99921;10191;34922;29313;37028;92223;14536
98339;31419;17252;92604;16698;29093;17585;30460;14774;96331;37626;33374
27241;85783;17744;12907;83844;14282;16094;27312;34519;85802;16470;14131
22095;15898;28645;27592;37545;22532;34231;21363;94655;28494;89395;92953
14391;81055;30772;28519;14983;32590;87820;31444;13687;21575;32678;92370
94845;15999;19016;90238;29232;34788;91069;21265;29317;24222;18180;38706
