84204;23886;11220;86605;38051;11820;39040;32981;25660;98836;37384;31055
16320;89416;89540;28968;31020;23099;34738;34018;92904;13691;10966;10468
99149;84005;38498;36843;35029;81767;18377;33670;23353;11431;25910;36370
22368;34795;19802;87586;36311;28083;91577;38856;24932;18638;18217;94873
13217;21309;31877;21323;21271;96815;87563;89605;28424;32870;12542;19464
87433;25980;14709;24576;26249;38794;83355;90965;30034;23989;17306;18114
11026;20270;22823;20578;34348;33130;82977;95494;34375;20776;10383;82887
93441;12515;34404;21049;99817;21457;15080;11898;21503;36626;19520;81923
22058;84821;11109;13488;38536;14160;27418;85274;36716;37944;17580;82548
35041;18848;33332;18846;97695;20121;95361;90897;37628;38829;37179;33662
